status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,watson_sentiment,watson_score,covid_19,company_age
✅ Trip Verified ,,Solo Leisure,Economy Class,Naples to Athens,23-May,1,2,1,1,1,1,1,no,1,  The worst company with bag policy. Even if the luggage was in the dimensions given in the website I got a fine of 48 euros. Do not consider consider to choose this company over a bit more expensive companies.,negative,-0.5795,1,28
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Stansted to Edinburgh,23-Apr,1,2,2,,,1,3,no,2,"  I have flown many low cost airlines including Ryanair with no issue, but I have never had a good experience with easyJet. I have flown with easyJet 20+ times but a staff are always rude (clearly not trained at all in customer service) and flights are delayed. This time round was the last straw. Not only was the flight delayed (again), the gate agent was extremely rude and unpleasant. I will never fly with them again.",negative,-0.810118,1,28
✅ Trip Verified ,A320 neo,Solo Leisure,First Class,Luton to Larnaca,23-Apr,5,5,5,,,5,5,yes,10,"  No complaints. Smooth and attentive service . Comfortable seats and food good. The flight left 45 minutes late and arrived 7 minutes early. Luton Airport isn't the best airport but I guess they have to base themselves somewhere so if it keeps the prices down then I will cope. Thank you EasyJet for a really nice, trouble-free journey - I will be back!",positive,0.560259,1,28
✅ Trip Verified ,A320,Family Leisure,Economy Class,Milan to Lanzarote,23-Apr,1,4,2,,,1,3,no,2," In the end the flight turned out to be ok, but the start was a disaster. We were checked and queued for quite some time, without being able to board. One man collapsed and needed emergency medical attention. The ground staff were overwhelmed and completely useless in this situation. It eventually turned out that the flight crew had to be replaced as the previous shift was already overtime, but no information was given, not a single announcement. I had the impression a group of amateurs were given the assignment to perform the boarding, very disturbing experience.",negative,-0.513148,1,28
Not Verified ,A320,Solo Leisure,Economy Class,Lisbon to Amsterdam,23-Mar,3,4,4,,,4,4,yes,8,"  It is clearly stated many times what the allowance is when booking and explained over and over. When you book a ticket, you have a basic ticket with only bring on a small bagpack that must fit under the seat in front of you. If you want to add a cabin bag, you pay for it. My flight was fine, i knew the rules and travelled with only a basic ticket which include the small bagpack under the seat. Cabin crew friendly and buy on board plenty of choice. Pay attention when you book a ticket.",positive,0.735251,1,28
✅ Trip Verified ,,Family Leisure,Economy Class,Venice to Paris ,23-Apr,1,1,1,1,1,1,1,no,1,"  They send you online boarding pass, let you feel everything looks good until you get boarding, they start to charge you all you bring, because you have no chance to use checked-in luggage service, be cautious with this airline. Air fare are great because they charge you $48 for a regular carry on, $158 for a medium size luggage and $48 for backpacks or over the arm bags. The only thing included is a kauv type bag or man purse type bag. Terrible, rude customer service.",negative,-0.514684,1,28
✅ Trip Verified ,,Couple Leisure,Economy Class,Paris to Venice,23-Apr,1,1,1,1,1,1,1,no,1,"  Airfare prices are great because they charge you $48 for a regular carry on, $158 for a medium size luggage and $48 for backpacks or over the arm bags. The only thing included is a kauv type bag or man purse type bag. Terrible, rude customer service. ",negative,-0.519104,1,28
Not Verified ,,Solo Leisure,Economy Class,Montpellier to London,23-Apr,1,1,,,,1,1,no,1,"  I had paid for an additional bag to take into the cabin. However when I arrived at the gate, they said the bag had to be dropped at the counter. I said that I had made a mistake and that I thought I could take it into the cabin. They said that I should repay (48€) to have it dropped next to the plane so that they could put it into the plane. I had asked, can you not make an exception and leave it next to the plane so that they put it in? She said, no you have to repay and then said, leave it next to the plane so that they put it in. A joke! Really rubbish customer service, always late and dishonest!",negative,-0.775663,1,28
Not Verified ,A319/320,Business,Economy Class,Rome to Basel,23-Mar,2,5,,,,1,3,no,2,"  The check-in and security check was perfectly fine, both processing and staff. The hand luggage rules/measures are very confusing and are obviously created to make people pay for an extra fee. Also the construction of seats with a frame beneath doesn’t allow regular hand luggage - although this frame (that might be necessary) could most probably have been constructed in a different way. Discussing this matter with the personnel at the gate at Rome (FCO) got very emotional and wasn’t professional at all.",negative,-0.344548,1,28
Not Verified ,,Couple Leisure,Economy Class,Manchester to Ibiza,23-Mar,1,1,,,,1,1,no,1,"  I have always travelled worldwide with my hand luggage suitcase, I have even worked for an airline and I have never had a problem with any other airline. My actual suitcase was brought as hand luggage dimensions requirements, only to find when boarding my flight from Manchester to Ibiza, a man, was standing where we pass with the boarding pass holding a credit card machine and stopping everyone with a hand luggage that didn't fit in which looked like a child size baggage gauge and apparently easyJet don't allow the wheels or handles to be included in the dimensions stated on their site. I wasn't the only one questioning this it looked like an easy money racketeering business going on threatening passengers that they cannot board until they have paid.",negative,-0.856819,1,28
✅ Trip Verified ,,Business,Economy Class,Birmingham to Belfast,23-Mar,3,2,2,1,1,1,1,no,1," Flights delayed by over 1 hour and the airline crew decided to leave all the passengers stranded on the aerobridge that connects to the plane. With no update and communication, all the passengers were simply left stuck with no access to water.",negative,-0.921209,1,28
✅ Trip Verified ,,Family Leisure,Economy Class,Zürich to Porto,23-Mar,1,1,1,1,1,1,1,no,1,  I booked a flight to go to my grandmas 80th Birthday and they just canceled the flight. I wanted a solution and the only thing they said was to go to their homepage. The next flight available would‘ve cost 1000 CHF. They just aren‘t good with their customer service.,negative,-0.446776,1,28
✅ Trip Verified ,,Solo Leisure,Economy Class,Stansted to Amsterdam,23-Mar,1,1,,,,1,1,no,1,"  Unfortunately there is no chance that everything will be as planned with this company. I travelled from Amsterdam to London with a backpack which was fine. When I travelled back to Amsterdam with a backpack and a small shopping bag (bought clothes from the airport) they add me a fee for £39.99 before the boarding because I had too many bags on me. Since I am allowed to shop from the airport, why am I supposed to fit everything I bought in the airport  into my backpack? They told me “I need to pay” and “its not debatable” and the customer service were quite pressing on that. Next time, this company is going to be my last choice over the other flight companies.",negative,-0.751376,1,28
✅ Trip Verified ,A320,Couple Leisure,Economy Class,Funchal to Gatwick,23-Mar,1,2,,,,2,2,no,4,"  Nothing wrong with the flight but rather than arrive at Gatwick north we arrived at Gatwick South. No announcement from the crew or anyone. So there were passengers left confused, late at night, in the wrong terminal with their connections, greeters and onward arrangements screwed up. A simple announcement or warning by the crew would have helped. But easyjet don’t care. And their pricing is despicable.",negative,-0.631127,1,28
✅ Trip Verified ,Airbus,Solo Leisure,Economy Class,Amsterdam to Luton,23-Mar,1,3,,,,1,4,yes,6,"  Departing from Amsterdam was unpleasant. The plane was delayed. First, all the passengers were sent down the stairs to the holding area H2, then told to go back up to H pier corridor as there might be a gate change. Hardly any seating in H pier so I had to stand for ages. There wasn’t a gate change so we all went down the stairs again. This meant that I had to put my official EasyJet size cabin baggage into the frame twice. Each time it fitted of course but I had difficulty getting it out again each time. I arrived safely at Luton Airport more than an hour late. The return journey was punctual but at the departure gate I had the same problem with my cabin baggage, the ground steward came across as rather aggressive. There was a long wait on the stairs before boarding. This airline flies me to Luton near to where I need to be.",negative,-0.71744,1,28
✅ Trip Verified ,,Family Leisure,Economy Class,Paris to  Porto,23-Mar,1,1,1,1,1,1,1,no,1,"  The plane was not clean and the crew threw the garbage (used and dirty tissue paper that was on the seat, under the seat, being rude when alerted. One of the crew members mentioned that she didn't even want to be there working, she wanted to be at home but they called her at the last minute.   Avião não estava limpo e a tripulação atirou o lixo ( lenço de papel usado e sujo que estava no banco, para debaixo do banco sendo rudes quando alertados. Uma das tripulantes mencionou que nem queria eatar ali a trabalhar, queria estar em casa mas chamaram-na à última da hora.",negative,-0.852428,1,28
✅ Trip Verified ,,Solo Leisure,Economy Class,Paphos to  Bristol,23-Mar,1,3,3,,,1,1,no,1,"  Absolutely disgusted how they simply abandoned myself & a plane load of passengers at Paphos Airport at 11pm  on 8th March 2023, with the instruction of ""we have cancelled your flight, you have to find another way to get to Bristol, you have to find your own accommodation & sort your own way of getting there"". We had to go and collect our cases & leave the airport. Earliest flight back to Bristol is Wednesday 15th, so another week at my expense as I found a Jet2 flight then. The fight will begin for compensation when I get back. ",negative,-0.425118,1,28
Not Verified ,A320,Solo Leisure,Economy Class,Bristol to Glasgow,22-Aug,5,5,5,,,5,5,yes,8,"  Extremely convenient flight times. Departure was also on time. I liked the practice of serving complimentary glasses of water during a national heatwave, despite most of of their American counterparts charging for a cup of water! Seats were also nice and comfortable. Would definitely recommend.",positive,0.761607,0,27
✅ Trip Verified ,,Couple Leisure,Economy Class,Tel Aviv to Manchester,23-Jan,4,5,,,,3,5,yes,9, Had a difficult boarding due to a mix up with luggage tagging by ground staff. There was also a young couple with 3 children who needed to be sitting together. The flight manager handled all these mishaps excellently and kept updating passengers in a calm and collected way. She also sorted out the family seating very efficiently. Hats off to the team for making our flight so comfortable.,positive,0.603686,1,28
Not Verified ,Airbus 320,Couple Leisure,Economy Class,Liverpool to Palma de Mallorca,23-Jan,4,3,,,,3,5,yes,10,"  It's several years since we have flown with any other airline but easyJet, which I think speaks for itself. We have in the past used Ryanair occasionally but once they started seating couples separately if they did not pay for seats we ceased to do so. EasyJet suits us perfectly and flies to the places we want to visit. We were apprehensive when the rules / charges relating to baggage taken on board were changed, but we experimented flying with backpacks only which will fit under the seats in front and found that we could easily manage with those for a week's holiday. Since then we have happily travelled lightly and found it very easy indeed. We actually registered the fact on our most recent trip that is the ""Speedy Boarding"" passengers who now rush to queue when the boarding staff appear because they want to make sure of finding locker space as close to their seats as possible. The rest of us who have not paid extra for anything can just wait and board at our leisure. I can't recall more than one major delay in all the years we have used easyJet and just a few minor ones. On our last trip earlier this month both the outward and inward flights left and arrived slightly early. Flying out from Liverpool as we invariably do, we find it very rare that there is any nitpicking about bag sizes (despite some of the bags that we sometimes see!) and the whole process of flying with easyJet for us is relatively relaxed. It obviously helps that we know the ropes and that we keep abreast of any rule changes e.g. regarding baggage. It does seem to me that some of the critics fail to check on things like this and therefore are at least partly to blame when faced with charges they did not expect.",positive,0.375859,1,28
✅ Trip Verified ,A320 NEO,Couple Leisure,Economy Class,Gran Canaria to Glasgow,23-Jan,5,5,5,,,5,5,yes,10,"  Flight departed on schedule and arrived 20 minutes early. Well organised boarding in Gran Canaria with separate speedy boarding. Cabin crew were very professional, friendly and welcoming onboard. Bar services where quick and frequent with everything available that I asked for. After duty free service cabin lights were dimmed to allow us to rest. Aircraft was clean and good legroom, even in standard seats. Clear information given from pilots about route and weather at Glasgow. Bags were on the belt waiting for us getting through immigration too.",positive,0.559719,1,28
✅ Trip Verified ,A320,Solo Leisure,Economy Class,London to Antalya,23-Jan,2,1,2,,,1,1,no,1," I live in London and my family is in Izmir. I fly London-Izmir frequently in the last 2 years. First time ever additional £40 was charged for my cabin baggage that I always use. It is a standard one, I bought it from Samsonite just for flights as cabin luggage. This is definitely wrong what you are doing. My total trip London-Antalya, Antalya-Izmir, Izmir-Antalya, Antalya-London (4 flights) cost me £140 and just the cabin luggage extra charge cost me £40 because it didn't fit into your small (not standard) measurement box. The luggage measurement in their app shows my luggage is ok but in the airport, they charge an additional huge amount. This is not ethical and can't be legal too. I will never fly again with EasyJet and don't recommend this money-hungry airline company.",negative,-0.596595,1,28
✅ Trip Verified ,,Couple Leisure,Economy Class,Nice to Paris,22-Dec,1,1,1,1,1,1,1,no,1," Worst flight experience. Starting from the start of the journey from the baggage drop, I was asked to pay extra and yet wasn’t informed that I would have to pay extra for my cabin bags. Later, at the boarding I was asked to pay extra and then wasn’t even given an answer when I questioned about the same. Also, the lady at the counter was extremely misbehaved and didn’t talk or attend us well. She was more and more concern about the money being paid, and once we were quoted a specific amount to pay she all of a sudden increased the charges. It’s extremely disrespectful of her and a complete shame on the airlines how they treat their passengers. Are bags were very well going to fit in the required measurements. But still we ended up paying 106€ because no one was INTERESTED in listening and resolving the concern.",negative,-0.836273,0,27
✅ Trip Verified ,,Family Leisure,Economy Class,Berlin to Luton,22-Dec,3,3,3,1,,2,3,no,3,"  I’m boarding an easyjet flight from Berlin to London and just had an extremely unpleasant experience at the gate. I have been told by staff that my bag was too large and I would have to pay for it. When I put the bag in the easyjet own measuring device showing that the bag clearly fitted the allowable size, she refused to look, just demanding that I should pay. Thankfully, a second hostess came by, recognized the error and took us in.",negative,-0.563601,0,27
Not Verified ,,Solo Leisure,Economy Class,London to Belfast,22-Dec,1,2,1,1,1,1,1,no,1, Really bad airline. Rather than provided accurate information eg flight is delayed until x just kept providing an estimate of when the flight is to land. Never ever been on a flight with them that is on time. Very unreliable airline.,negative,-0.821959,0,27
Not Verified ,,Solo Leisure,Economy Class,Glasgow to London,22-Sep,1,4,3,1,1,4,2,no,2,  EasyJet lost my bag. I had to fill an online form for lost baggage. They gave updates on the bag status for 3 weeks. Post that the status was removed. No compensation was paid. The airline staff was helpful at the airport however they were Ill treated by various contracted service providers of easyJet. Besides this the airport facilities provided by easyJet are horrible. One has to check in ones luggage at the checkin. The instructions on the checking machines are inadequate. These machines fail to scan the bar codes on the boarding passes. The only relief is good and helpful staff but the numbers are too low. ,negative,-0.830922,0,27
Not Verified ,,Family Leisure,Economy Class,Paris to Catania,22-Dec,,,,,,,1,no,1,"  Do not use this airline. My flight was cancelled and they refunded 10% of the money and refuse to investigate where the remainder is. For the last 2 weeks they have used delay tactics to send me back to the bank. Even my bank has said they’re delaying the refund. How can 1 of 8 refund transactions go through but 7 don’t. Now Easyjet refuse to investigate it further until I get a letter from my bank saying they don’t have the money. So, either I’m a liar or my bank are apparently? I’m pretty sure this is illegal, delaying a refund like this. ",negative,-0.808901,0,27
Not Verified ,A320 NEO,Solo Leisure,Economy Class,Bristol to Alicante,22-Jul,4,5,5,,,4,5,yes,10," Flew from Bristol to Alicante with easyJet for a quick weekend break, more spur of the moment trip, and was impressed with the value for money and the attentive service received despite the flight being late out of Bristol and not arriving until early hours Sat morning. Seat 1E by the window was clean and with extra space and priority boarding was welcomed. Two drinks came to about £10 which was good considering it was an alcoholic beverage. Really happy flying easyJet and will recommend them 100%",positive,0.765418,0,27
Not Verified ,,Family Leisure,Economy Class,Nice to Rome,22-Dec,1,1,,,,1,1,no,1,"  I do not recommend this company with incompetent employees who only know how to trick you into taking your money. I checked in with my husband and I was entitled to two checked bags and the lady at the check in said that we can get on the plane with the smaller bag and up at the boarding gate another team from this company is waiting for you to collect the luggage once more, it's unbelievable how many thieves there are! The people at the bottom of the check-in prepare the loot for the people at the top who charge you to pay for your luggage twice.",negative,-0.824437,0,27
Not Verified ,,Solo Leisure,Economy Class,Edinburgh To Fuerteventura,22-Nov,4,5,5,,,5,5,yes,10, Edinburgh To Fuerteventura. Very cheap fare. Boarding well organised. The crew were very friendly and professional providing a fantastic service throughout the flight. Would not hesitate to use again.,positive,0.587007,0,27
✅ Trip Verified ,,Couple Leisure,Economy Class,London to Malaga,22-Jul,,,,,,,1,no,1,"  Really bad and poor customer service and manage booking system. I had booked two EasyJet tickets for a flight this Christmas from Uk to Spain. I tried to add a selected seat today Nov 26th for one of the passengers, which included an extra large cabin bag and other different perks. Unfortunately, their system when you tried to get one of those selected seats, it does not allow you to continue with the process without buying obligatory another seat for the other passenger even I do not need it. So I decided to contact them by chat to see if they can get me a solution. After expending 30 minutes chatting with the customer service agent, he told me that he can provide me with this service but £5 more expensive than the website price. I asked him, why, and he mentioned that doing it through the website is cheaper. The situation was ridiculous, even though I spent precious time chatting with him, EasyJet wants to charge me more because of their badly designed system. I wished I could do it by the website without expending more time. So I recommend to people to even booked passenger tickets separately and you can manage the options individually or book flight tickets with another company which has a better system, EasyJet tries to get as much money as they can from their loyal customers. But never more, even I was one of the people affected by their famous data breach and never claim anything because I have been using Easy Jet for a long time and always I had good service. But not anymore, I am very disappointed with them and I encourage other people to go for different airline companies. EasyJet never again.",negative,-0.721698,0,27
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Berlin to Amsterdam,22-Nov,5,1,,,,1,3,no,1," While booking it all seems to be a very nice airline mainly because its cheap. I flew from Berlin to Amsterdam on November 18, flight EJU5107 seat 12A (exit row). Immediately I noticed that the flight was seriously delayed. During boarding, the easyJet ground staff is very unclear about who should board first. Nothing was announced either. As a result, it turned into chaos. After I boarded the plane, certain staff seem to speak very bad English. That shouldn't be too much of a problem, this becomes dangerous when there's an emergency and you need to communicate. I have flown with easyJet on a regular basis and all easyJet flights are always delayed (over an hour). Therefore I'm not recommending easyJet, especially for passengers who have a transfer where there is a high chance that they will miss their flight. The good thing is that the seats are very comfortable. Better than other low cost airlines.",negative,-0.743841,0,27
✅ Trip Verified ,A320,Business,Economy Class,Milan to Lisbon,22-Nov,3,3,,,,2,5,yes,7,"  It is a low cost company, and the review must me written according to the services they offer, very bad support on the ground team, was afraid my suitcase did not arrive, a bit confusing boarding, lots of time stranded in the access to the plane. Overall a good transport to get from point A to Point B.",negative,-0.454747,0,27
Not Verified ,A320,Family Leisure,Economy Class,Bristol to Fuerteventura,22-Nov,5,5,3,,,5,5,yes,10,"  Myself, Wife and 12yr daughter old flew with Easyjet holidays to Fuerteventura from Bristol for a week in 29th Oct to 5th Nov. Excellent flights out and back, plenty of leg room also. Flight crew were very good although food and beverages were expensive. Slight delay going out and ATC delay of 45 mins coming back but time was made up with tail wind. As easy jet holiday booked, we each had 23kg of hold luggage and small carry on bag. cannot fault Easyjet especially if you follow the rules and do what you are required to do. Covid certificates were not looked at going or coming back. Passports now stamped in and out of Fuerteventura, just like the old times. All in all a great holiday thanks to easyjet, and all for £1117 all in for the 3 of us.",positive,0.477078,0,27
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Lisbon to Madeira,22-Nov,2,1,,,,4,2,no,3," Please note that since Brexit your purchases on UK economic operators are subject to international processing commission and stamp duty, freely set by your bank and not reflected in the invoice issued by easyJet. The company started operating in Lisbon's Terminal 1, which, despite the general infrastructure of the airport being terrible, is always better than Terminal 2. Clean plane, boarding by bus far from the door (next to Terminal 2), minimally friendly crew, compliant with timetables, with boarding starting one hour before departure. Bus employee at the airport extremely friendly and charismatic.",positive,0.633171,0,27
Not Verified ,,Solo Leisure,Economy Class,Paris to Lisbon,22-Sep,1,1,,,,1,1,no,1," Four people in our tour group made our own reservations for a trip from the US to Paris. The travel day began with the initial flight and then Easy Jet reservations were made to fly hours later to Lisbon Portugal. We landed on time at CDG airport and received notification from Easy Jet that our flight to Lisbon was delayed for 90 minutes. No issue there for us - just a bit more time to stretch our legs. The communication from Easy Jet came in a text. I still have a picture of the text received. We arrived at the gate prior to the original departure time to find that the flight was only 11 minutes late and because we were not at the gate two hours prior to the original departure time we were not allowed to board the airplane. The gate agent would lend absolutely no support. We were not the only passengers that were left that day. We each purchased our ticket and a carry on bag for the flight. There were no other flights from CDG airport available to Lisbon that day which was not an option for us as we had to meet our tour group. We each had to make reservations for TAP Portugal out of Orly Airport - about an hour Uber Drive from CDG. This expenditure cost each of us nearly $400 - the Uber Drive, the last minute flight and the baggage. I reached out to Easy Jet upon our arrival home. The emails have been non-stop with sending our information, picture of the text message received and basic pleading to have our money refunded. We were only issued the tax on the flight which came to $19.06 Euro. We will never travel Easy Jet in the future. We will share our experience to whoever will listen and get the word out that this company takes no responsibility for their lack of customer service and their lack of communication. The deal we received in booking this reservation was excellent so in good faith, reimbursing each of us would not have broken the bank for the company. We are VERY disappointed and do not want anyone else to experience like we did.",negative,-0.549075,0,27
✅ Trip Verified ,,Business,Economy Class,Luton to Amsterdam,22-Oct,,,,,,1,1,no,1,"  Completely unreliable and dishonest. Checked in for my flight 2.5 hrs in advance. Was told that because I checked in late I couldn’t be guaranteed a seat on the flight that I’d booked and paid for, but they would try to put me on one of the departing flights for the day. When booking with easyjet just be aware that paying for a ticket in a flight doesn’t guarantee you a seat on that flight.",negative,-0.930254,0,27
✅ Trip Verified ,A320,Couple Leisure,Economy Class,Bristol to Barcelona,22-Oct,4,4,3,,,3,5,yes,8,  As is usual for us Easyjet got us to our destination and back without any great fuss. It's a No frills airline and that's what you get but it does the job. If you follow their rules they are as good if not better than other no frills airline. I would have marked it higher other than for the lacklustre performance of staff at BCN check-in. Been using them since they started and have already booked two flights for next year.,positive,0.493299,0,27
Not Verified ,A320,Family Leisure,Economy Class,Luton to Catania,22-Jul,,,,,,1,1,no,2,"  My flights were cancelled flights due to Covid. For this I was issued travel vouchers (listed below) however valid until 31/10/22. However, when I have attempted to apply the travel vouchers to new bookings, the screen reads that I must contact their customer service. Such a thing is impossible as there is no number to contact anywhere on their website, rendering the vouchers useless. If easyJet enable their promise to be fulfilled by extending the vouchers and making them actually usable, I would withdraw this complaint.",negative,-0.932821,0,27
✅ Trip Verified ,,Business,Economy Class,Stansted to Glasgow ,22-Oct,2,3,,1,1,1,3,no,1,"  Dodgy tactics to milk your money, never pay for extra services, you won't get anything extra. The only good aspect will be low prices if you are traveling alone with small or no bags. I've traveled with them 6 times, the first 2 times I paid for the speedy boarding + cabin bag, but was shocked by the complete chaos in boarding where everyone was boarding at the same time either standard or speedy, and I even couldn't find a place to put by bag (all was taken), had to put away from where I sit although I paid extra for an overhead cabin bag. The next 4 times, I just opted for the standard service as everyone apparently was getting the same service, and used the same cabin bag every time. On my most recent one, the flight was delayed almost an hour, stood in the queue for a long time then when boarding started the employee asked me to get out of the queue to fit my bag in the scale, at this point, I was extremely exhausted and didn't want to lose my place in the queue so told her I will just pay whatever the extra cost to get on the plane. So paid extra money for the same cabin bag which I've been using for the past 5 flights with no issues Bottom line, don't pay for extra services, and don't use this company if you are traveling for business or important appointments",negative,-0.848631,0,27
Not Verified ,,Couple Leisure,Economy Class,Manchester to Malta,22-Oct,3,5,,,,5,5,yes,9,"  I've flown with easyJet about a dozen times, and always had a good experience. The flight from Manchester to Malta and the return a few days later were again very good. Booking, checking-in and boarding were all straight forward. The cabin crew were friendly and efficient and the planes were clean. We took off and landed bang on time. Will definitely fly with them again.",positive,0.849455,0,27
Not Verified ,,Family Leisure,Economy Class,Berlin to Faro,22-Mar,3,1,,,,3,2,no,2,"  They want you to pay more money for the hand luggage, because your suitcase does not fit to their regulations.  I was flying with 2 little kids (11 months old) and 3 years old. And I was breastfeeding and at the same time talking to my eldest one. And of course my mask was quite often a bit below the nose and this man was shouting at me.  That was super unpleasant flight.",negative,-0.6536,0,27
Not Verified ,,Business,Economy Class,Geneva to Brussels,22-Aug,1,,,,,1,1,no,1,"  Our flight from Geneva to Brussels on 28 august was cancelled less than 1 hour before flying, without giving a reason. We were asked through the airport speakers to find a hotel. No assistance or clarification available. No contingency whatsoever. We needed to purchase new tickets from Swiss for over 600 euro to get home the next day. Reimbursement, if any, is limited on their flyer to be maximum 220 euro. No news yet after one month. No help, no assistance through their UK help line. This is a joke. EasyJet treated us worse than cattle. ",negative,-0.829768,0,27
✅ Trip Verified ,,Solo Leisure,Economy Class,Berlin to Amsterdam,22-Oct,1,1,,,1,1,1,no,1,"  Worst experience of all. When flying from Amsterdam to Berlin, there was more than 2 hours of delay but they did not give any compensation (drink vouchers), which was stated in the Terms & Conditions. On my way back, there was another delay of an hour due to which was triggered by their technical fault. The cabin crews were extremely unfriendly:  I will for sure say that I will never take EasyJet again. ",negative,-0.862007,0,27
✅ Trip Verified ,,Couple Leisure,Economy Class,London Gatwick to Glasgow,22-Sep,1,5,,1,1,1,2,no,1," First time I fly easyJet, I didn't think to check reviews, we were only going to Glasgow and it is just a quick long weekend. So we didn't care to dig into the airline assuming it is the standard stuff. But boy we were wrong, we took a Friday flight 30th of September EZY885, was supposed to take of 18:05, but only took off around 18:45 or something like that, thankfully, we had nothing planned. Then on the way back on the 3rd of October Ezy6414 @ 9:15, they decided my standard bag was too big for the cabin, because apparently on Feb2021, they shrunk the seats and the cabin size even more, and charged me £24 for it. That bag was half empty, I could have brought a smaller one had I known. Why are they going against standardisation? They actively want to catch you, the lady there could have let it go, it's not like that money goes to her pocket, but some people enjoy letting others down. They must hate their jobs immensely (customer service is difficult, especially with money grabbing management that are paid 6digits compared to people in her level with 1.65bn revenue). My guy friend is 6ft, he had his legs squashed there, I feel terrible, I didn't think he might need leg space.",negative,-0.734988,0,27
Not Verified ,,Family Leisure,Economy Class,Paphos to Manchester,22-Sep,1,1,,,,1,1,no,1,"  Worst airline ever, extremely unreliable and very rude and clueless staff, treating people with no respect. We had a delay for 18 hours for a reason they wouldn't tell us and couldn't care less for the passengers - the worst!",negative,-0.992863,0,27
Not Verified ,A321,Couple Leisure,Economy Class,Tel Aviv to Lisbon via Geneve,22-Sep,1,3,2,1,1,1,1,no,1," 4 flights in 5 days. Journey was from Tel Aviv to Lisbon and back. One connecting flight in Geneva and on the return connecting in Milan. Each of the 4 flights had a delay. Each time was another story. Was traveling with a person considered as Special Assistance, but none was provided by the airline at any stage. All in all, EasyJet might be good to fly from one place to another, with no need to connect flights. For us, it was really cheap but had it's price by the time/delays and by the service. We will highly try to avoid flying with EasyJet.",negative,-0.424203,0,27
Not Verified ,,Solo Leisure,Economy Class,Nice to London Heathrow,22-Aug,1,1,1,1,1,1,1,no,1,"  Flight was delayed 2.5hrs. There was a multiple car crash enroute to the airport so my 30min drive turned into 2.5hrs but I left early enough that I wasn’t worried and that was for the non-delayed flight. I arrived 9 minutes after check-in, they wouldn’t let me in and gave me absolutely zero alternative options. As I frantically searched other flights I found my easyJet flight was 2 hrs delayed so again tried to get on my flight, was told that apparently I missed baggage drop by half an hour, this was 1.5hrs after the check in I had modestly missed, sorry 1.4hr as I was 9 mins late for a flight that was 2 hrs delayed!!",negative,-0.938083,0,27
✅ Trip Verified ,,Family Leisure,Economy Class,Bristol to Geneva,22-Jun,1,1,1,1,1,1,1,no,1,"  Hands down the worst customer service I have ever received. Lost our checked in luggage and it took nearly a month to lodge a claim as they dont answer phone calls, avoid responding to emails and in general don't care about their customers. After going round in circles for 4 weeks we finally managed to lodge a claim but had no response since. We will make sure never to fly with this airline again. We have flown twice with them and both times flights were delayed by almost 2 hours without any explanation given.",negative,-0.873669,0,27
Not Verified ,,Couple Leisure,Economy Class,Sharm El Sheikh to Bristol,22-Sep,3,5,3,,,5,5,yes,10,"  Highly recommend. EasyJet went above and beyond. We had to emergency land in Munich due to sick passenger on the way back from Sharm to Bristol. EasyJet put nearly 300 of us up in a hotel, arranged taxis and paid for our food all day. The only thing we need to claim is taxi fare, every thing else was paid for. They went above and beyond for a budget airline and didn’t leave us stranded like lots of bigger named airlines. I can’t thank them enough. Staff also went above and beyond. 5 stars to easyJet.",positive,0.398324,0,27
Not Verified ,,Couple Leisure,Economy Class,Basel to Amsterdam,22-Sep,1,1,,,,1,1,no,1,"  I booked a flight to return from Basel to Amsterdam. This flight was cancelled and EasyJet made no effort to notify me. When I checked in to my departing flight, I saw on the app that the flight was cancelled. I called to have my flight rebooked to an earlier flight and explained my frustration at the fact that no one had contacted me in advance. I was told that my seats would be rebooked for the new flight to the extra legroom seats I had before. The next day I called again to explain that the reservation does not have me in an extra legroom seat as I paid for and asked this to be corrected. The person on the line was not willing to refund my fee as I that would mean I would also have to give up the cabin baggage allowance I also paid for. I explained to him how frustrated this was for me as a customer, and at the end of the call he asked me to hang up on me before he hung up on me himself. This is a poor example of customer service, and if the trip wasn't so last minute, I would ask for a refund and take my business elsewhere. I am not responsible for the flight being cancelled last minute and I made all the arrangements in advance to ensure a smooth trip. I am beyond disappointed in the service I've received and will consider this when making future reservations.",negative,-0.826939,0,27
✅ Trip Verified ,,Solo Leisure,Economy Class,Nantes to Gatwick,22-Sep,1,1,,,,1,1,no,1,"  I really do not recommend EasyJet. 2h35 delay on a 45min flight, and still no compensation. This is really not proportional. They kept us waiting without giving any information, in a room without any location to buy food or water. Terrible journey with EasyJet!",negative,-0.848575,0,27
✅ Trip Verified ,,Couple Leisure,Economy Class,Paris to Nice,22-Sep,2,2,,,,1,1,no,1,  Worst flight company ever. Flight was delayed. Small carry on bags with the exact size they mention when buying the ticket is not  respected as they oblige you to try to fit your bag in a much smaller box and even if it misses by 0.5 cm they tax you 28€ per bag twice on both your roundtrip flight,negative,-0.908223,0,27
